Locus Tag	gene	0hr_r1	0hr_r2	0hr_r3	0hr (Avg)	2hr_r1	2hr_r2	2hr_r3	2hr (Avg)	4hr_r1	4hr_r2	4hr_r3	4hr (Avg)	8hr_r1	8hr_r2	8hr_r3	8hr (Avg)	16hr_r1	16hr_r2	16hr_r3	16hr (Avg)	24hr_r1	24hr_r2	24hr_r3	24hr (Avg)
SL1344_1030	sopB	42.66	41.56	32.98	39.06	182.7	166.78	106.17	151.88	51.85	76.79	35.69	54.78	3.57	2.29	19.27	8.38	1.84	1.49	1.8	1.71	1.84	3.2	3.92	2.99
SL1344_1031	orfX	8.63	14.33	2.55	8.5	146.83	0	0	48.94	114.21	33.09	33.69	60.33	0	0	17.36	5.79	12.14	9.85	32.18	18.06	8.28	14.3	17.75	13.44
SL1344_1032		6.67	0	0	2.22	0	0	0	0	0	25.57	0	8.52	0	0	80.5	26.83	0	0	5.53	1.84	10.24	0	6.86	5.7
SL1344_1033	pipD	4.49	2.9	0.59	2.66	101.95	116.44	67.66	95.35	118.95	116.8	42.89	92.88	77.84	78.73	130.61	95.73	55.51	43.87	55.02	51.47	23.01	22.42	19.9	21.78
SL1344_1034	copS	8.07	9.82	7.32	8.4	24.4	13.44	7.29	15.04	24.91	10.31	10.5	15.24	0	8.48	17.31	8.6	9.84	13.5	6.24	9.86	4.75	7.13	5.25	5.71
SL1344_1035	copR	20.65	26.93	16.3	21.29	66.92	24.57	13.32	34.94	84.58	64.1	15.35	54.68	32.27	51.68	35.61	39.85	20.76	21.32	5.7	15.92	15.86	17.01	19.97	17.61
SL1344_1036		17.89	10.4	15.88	14.72	0	0	0	0	82.87	27.44	41.91	50.74	44.03	14.1	50.4	36.18	32.73	26.54	20.75	26.67	13.74	17.12	18.86	16.57
SL1344_1037	hpaC	1.43	0	0.85	0.76	0	0	0	0	0	0	0	0	0	11.3	11.53	7.61	2.02	3.27	1.19	2.16	1.1	2.11	1.11	1.44
SL1344_1038	hpaB	1.41	3.12	2.22	2.25	0	0	0	0	0	1.8	0	0.6	0	2.47	15.12	5.86	1.98	2.14	2.72	2.28	1.98	4.84	5.07	3.96
SL1344_1039	hpaR	13.33	8.3	3.95	8.53	18.91	0	0	6.3	11.03	0	6.51	5.85	0	0	0	0	7.04	5.71	0	4.25	4.48	1.23	3.86	3.19
SL1344_1040	hpaG	3.41	3.31	2.36	3.03	32.27	9.48	0	13.92	7.53	6.55	0	4.69	0	4.49	2.29	2.26	4.8	4.55	2.36	3.9	3.5	3.77	3.22	3.5
SL1344_1041	hpaE	1	3.32	2.67	2.33	0	0	13.56	4.52	6.62	0	0	2.21	0	5.26	2.01	2.42	4.22	4	2.9	3.71	3.46	2.76	3.73	3.32
SL1344_1042	hpaD	1.72	1.43	4.08	2.41	0	0	0	0	0	19.83	6.73	8.85	7.07	9.06	6.94	7.69	9.7	5.9	5	6.87	5.96	6.35	5.76	6.02
SL1344_1043	hpaF	0	1.6	3.43	1.68	0	0	0	0	0	7.4	0	2.47	0	5.07	31.07	12.05	2.72	4.4	4.8	3.97	1.48	2.84	2.98	2.43
SL1344_1044	hpaH	1.83	3.79	1.08	2.23	0	0	0	0	6.04	7.01	3.57	5.54	0	7.2	14.7	7.3	0	1.04	6.05	2.37	0.35	2.35	2.11	1.61
SL1344_1045	hpaI	1.85	1.54	1.1	1.5	10.52	0	0	3.51	6.14	10.67	7.24	8.01	0	0	11.2	3.73	6.52	0	3.07	3.2	4.27	4.1	4.77	4.38
SL1344_1046	hpaX	1.6	2.66	1.58	1.94	6.05	4.44	0	3.5	10.58	4.09	0	4.89	0	2.8	0	0.93	3.75	2.43	2.21	2.8	1.84	3.53	3.15	2.84
SL1344_1047	hpaA	1.64	0.68	0.97	1.1	0	0	0	0	5.42	3.14	0	2.85	0	6.45	9.88	5.45	1.15	2.8	1.36	1.77	1.57	2.71	1.89	2.06
SL1344_1048		0	1.99	1.42	1.14	0	6.66	0	2.22	5.29	6.13	0	3.81	0	2.1	0	0.7	2.25	4.56	3.98	3.6	3.99	5.3	5.96	5.09
SL1344_1049		0	0	0	0	0	0	0	0	0	0	0	0	16.62	0	0	5.54	0	0	1.68	0.56	0.78	4.48	3.13	2.79
SL1344_1050	yccD	19.24	11.98	9.96	13.73	0	0	32.59	10.86	63.66	0	9.39	24.35	39.46	25.28	9.68	24.81	13.54	13.72	29.89	19.05	13.85	12.39	17.93	14.73
SL1344_1051	cbpA	21.52	21.84	14.63	19.33	0	33.2	0	11.07	47.48	21.4	12.45	27.11	19.62	23.05	19.25	20.64	8.98	18.19	9.91	12.36	12.25	17.61	16.4	15.42
SL1344_1052	scsA	44.57	26.91	32.38	34.62	0	0	0	0	0	23.31	7.91	10.41	0	10.65	0	3.55	39.92	32.37	33.58	35.29	55.24	62.66	86.48	68.13
SL1344_1053	scsB	2.72	3.87	2.53	3.04	4.41	0	0	1.47	0	0	0	0	0	0	3.13	1.04	7.11	7.54	9.35	8	22.55	13.89	21.5	19.31
SL1344_1054	scsC	3.53	1.95	2.09	2.53	0	9.81	0	3.27	0	9.03	0	3.01	0	6.19	0	2.06	8.28	8.06	2.93	6.42	21.7	22.97	18.16	20.95
SL1344_1055	scsD	1.45	7.22	3.43	4.03	0	0	0	0	38.37	16.68	0	18.35	0	3.81	29.17	10.99	12.24	13.23	6.01	10.49	25.61	16.01	21.25	20.95
SL1344_1056	agp	3.55	2.94	3.15	3.21	6.7	19.69	0	8.8	7.82	54.4	4.61	22.28	4.85	34.17	30.92	23.31	23.29	24.28	24.98	24.18	12.94	12.84	16.72	14.16
SL1344_1057	yccJ	71.08	118.02	76.5	88.54	879.67	511.34	306.48	565.83	662.86	545.21	151.38	453.15	106.05	288.73	858.24	417.67	227.36	176.97	286.47	230.27	111.67	110.62	93.88	105.39
SL1344_1058	wrbA	28.3	30.65	32.78	30.58	111.68	164	133.41	136.36	146.59	122.71	33.63	100.98	252.44	132.61	128.77	171.27	95.25	103.92	97.89	99.02	68.52	55.72	41.77	55.34
SL1344_1059	ymdF	8.78	18.23	5.2	10.74	149.47	182.91	0	110.79	0	134.74	68.59	67.78	0	126.97	176.76	101.24	123.62	90.21	265.66	159.83	67.46	42.04	64.37	57.96
