Locus Tag	gene	0hr_r1	0hr_r2	0hr_r3	0hr (Avg)	2hr_r1	2hr_r2	2hr_r3	2hr (Avg)	4hr_r1	4hr_r2	4hr_r3	4hr (Avg)	8hr_r1	8hr_r2	8hr_r3	8hr (Avg)	16hr_r1	16hr_r2	16hr_r3	16hr (Avg)	24hr_r1	24hr_r2	24hr_r3	24hr (Avg)
SL1344_0937	asnCa	157.16	147.87	118.46	141.17	89.15	165.82	149.08	134.68	159.48	194.89	63.41	139.26	55.88	106.02	166.57	109.49	71.52	80.11	60.78	70.8	62.97	61.14	71.26	65.12
SL1344_0938		3.18	14.53	6.59	8.1	54.14	0	0	18.05	31.59	6.1	0	12.56	13.05	8.36	19.21	13.54	17.91	7.26	5.27	10.15	4.28	9.37	6.55	6.73
SL1344_0939	dpaL	0.6	0	0.36	0.32	0	5.03	0	1.68	4	6.95	0	3.65	0	1.59	0	0.53	0	0.69	1.5	0.73	2.55	3.34	2.17	2.69
SL1344_0940		0	0.42	0.3	0.24	5.79	4.25	0	3.35	3.38	0	0	1.13	0	0	2.06	0.69	0	0.58	0.85	0.48	3.33	3.76	4.6	3.9
SL1344_0941	pncB	24.41	29.89	18.06	24.12	13.84	5.08	0	6.31	12.11	11.7	9.53	11.11	10.01	6.41	2.46	6.29	23.19	18.8	13.65	18.55	29.99	31.9	31.69	31.2
SL1344_0942		69.25	82.95	28.9	60.37	57.96	80.38	53.85	64.06	82.65	111.03	37.68	77.12	37.26	44.76	100.53	60.85	40.75	34.33	35.28	36.79	41.2	37.83	39.56	39.53
SL1344_0943		0	0	1.75	0.58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.27	4.36	1.52	2.72
SL1344_0944		1.53	1.27	0.91	1.24	0	0	0	0	10.15	0	0	3.38	0	0	0	0	0	3.5	1.27	1.59	1.77	0	1.58	1.12
SL1344_0945		0.66	6.59	1.96	3.07	0	5.51	0	1.84	0	0	1.29	0.43	0	0	0	0	0.93	0	0.55	0.49	3.3	1.21	0.9	1.8
SL1344_0946	recEa	0.3	0.27	0.41	0.33	0	5.66	0	1.89	0	0	0	0	0	0.87	0	0.29	0	0	0	0	0.92	1.35	1.46	1.24
IsrB-2	IsrB-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.92	0	0.97
IsrB-1	IsrB-1	834.84	608.89	272.5	572.08	88.51	259.96	0	116.16	309.82	209.46	274.17	264.49	64.02	533.19	219.82	272.34	702.79	676.67	478.44	619.3	665.19	626.2	455.45	582.28
SL1344_0947		0	2.04	5.81	2.61	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8	0	0.93	1.88	0	2.52	1.47
SL1344_0948		4.64	19.27	0	7.97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.71	0	0.57
SL1344_0949		0	0	1.67	0.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.34	0.78	0	1.05	1.46	0.84
SL1344_0950		152.7	114.28	57.29	108.09	170.8	107.49	116.58	131.62	56.94	131.98	25.19	71.37	0	22.61	103.88	42.16	24.22	46.63	33.86	34.9	44.6	41.18	51.99	45.92
SL1344_0951	C1	1.96	0	0	0.65	0	0	0	0	0	0	7.66	2.55	0	10.31	0	3.44	0	0	3.25	1.08	2.77	3.34	6.14	4.08
STnc1080	STnc1080	204.39	69.87	14.23	96.17	0	0	0	0	0	0	46.94	15.65	98.66	94.8	48.39	80.62	33.84	54.88	19.93	36.22	69.26	66.4	83.48	73.05
SL1344_0952		0	1.24	0	0.41	0	0	0	0	0	0	0	0	0	0	3	1	0	3.41	0.62	1.34	2.58	3.3	3.65	3.17
SL1344_0953		0	0	0.58	0.19	0	0	0	0	0	0	0	0	0	0	0	0	1.38	1.12	0.81	1.1	1.13	1.08	3.27	1.83
SL1344_0954		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.62	3.11	1.09	1.94
SL1344_0955		16.51	21.54	6.98	15.01	26.75	19.64	0	15.47	15.61	54.27	9.21	26.36	0	0	9.49	3.16	3.32	8.07	3.91	5.1	6.34	4.34	7.88	6.19
SL1344_0956		386.94	495.51	176.66	353.04	258.21	273.86	68.54	200.21	200.85	174.59	69.12	148.19	20.75	39.88	173.04	77.89	42.71	40.4	71.25	51.46	27.19	17.69	33.82	26.23
SL1344_0957		33.97	25.91	23.12	27.67	173.62	120.14	127.97	140.57	127.16	137.09	0	88.08	77.49	70.32	106.71	84.84	41.58	60.07	61.96	54.54	125.06	133.97	196.63	151.89
SL1344_0958		40.19	14.92	4.89	20	68.14	0	16.51	28.22	28.33	7.9	5.62	13.95	10	11.44	0	7.15	34.44	22.6	36.88	31.31	80.38	89.27	82.06	83.9
SL1344_0959	ninG	0.6	1.99	1.42	1.34	0	0	0	0	3.97	0	0	1.32	0	0	0	0	0	10.96	9.45	6.8	20.76	21.58	38.19	26.84
SL1344_0960		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.16	1.39	10.35	1.85	5.56	5.92
SL1344_0961		1.84	0.76	0	0.87	0	0	0	0	6.09	0	0	2.03	0	0	3.7	1.23	2.59	2.1	3.05	2.58	7.42	12.54	12.31	10.75
SL1344_0962		78.66	72.99	26.02	59.22	0	19.27	31.35	16.87	76.56	17.75	18.07	37.46	18.98	36.49	27.94	27.8	42.33	42.24	34.51	39.69	63.08	74.11	52.36	63.18
SL1344_0963		0	0	0	0	0	0	0	0	0	0	0	0	48.14	0	0	16.05	0	0	4.86	1.62	15.77	6.48	15.09	12.45
SL1344_0964		6.53	17.63	9.67	11.28	0	0	0	0	10.81	18.79	19.13	16.25	13.4	4.29	0	5.9	32.18	18.64	21.66	24.16	32.62	31.27	51.25	38.38
SL1344_0965	gtgA	12	15.66	5.16	10.94	0	12.11	0	4.04	12.55	16.4	0	9.65	8.77	5.03	4.3	6.04	0	1.85	1.81	1.22	11.98	5.31	9.04	8.78
SL1344_0965A		0	3.64	0	1.21	0	36.47	0	12.16	14.49	8.4	0	7.63	0	0	8.81	2.94	9.24	5	14.51	9.58	19.34	27.4	27.02	24.59
SL1344_0966	nucD	2.04	3.68	6.72	4.15	0	0	0	0	0	0	6.3	2.1	0	0	0	0	3.41	0	3.08	2.17	3.81	8.29	12.59	8.23
SL1344_0967		0	1.22	0	0.41	0	0	0	0	0	0	0	0	12.04	0	0	4.01	4.13	1.67	0	1.93	4.64	3.24	4.45	4.11
SL1344_0968		5.5	1.14	4.07	3.57	0	22.92	0	7.64	9.11	0	5.37	4.83	11.29	3.62	0	4.97	11.62	4.71	1.14	5.82	6.34	13.68	8.85	9.62
SL1344_0969		1.43	1.19	1.06	1.22	0	0	0	0	4.73	6.85	2.79	4.79	0	3.75	0	1.25	1.51	3.26	2.37	2.38	7.13	5.52	5.33	5.99
SL1344_0971		7.11	3.54	3.37	4.67	0	3.95	38.55	14.17	12.55	3.64	1.85	6.01	11.67	7.48	11.45	10.2	8.67	7.57	4.32	6.86	8.38	6.46	7.44	7.42
SL1344_0972		1.41	0.59	1.67	1.22	0	5.87	4.78	3.55	4.66	6.76	2.75	4.73	14.46	0.93	5.67	7.02	6.45	3.62	4.96	5.01	4.2	4.41	6.43	5.01
SL1344_0973		0	1.89	2.69	1.52	0	0	61.54	20.51	0	0	0	0	0	11.94	0	3.98	0	12.96	3.76	5.57	1.74	3.34	4.67	3.25
SL1344_0974		0	0	2.9	0.97	0	0	0	0	16.23	0	0	5.41	0	0	0	0	0	0	0	0	2.83	0.9	1.26	1.66
SL1344_0975		0	0	3.84	1.28	14.7	0	0	4.9	0	0	0	0	0	3.41	0	1.14	7.29	0	3.22	3.51	1.49	1.91	3.33	2.24
SL1344_0976		3.66	0	1.08	1.58	0	15.23	24.78	13.34	0	7.01	0	2.34	0	14.42	22.08	12.17	7.72	0	3.03	3.58	5.62	3.37	6.11	5.03
SL1344_0977		0	0.89	3.8	1.56	0	0	0	0	0	16.4	8.35	8.25	0	5.62	8.61	4.74	4.51	2.44	5.32	4.09	9.85	6.3	5.5	7.22
SL1344_0978		0	1.53	1.09	0.87	0	0	0	0	0	0	0	0	0	0	0	0	7.78	4.21	3.05	5.01	8.49	3.39	8.06	6.65
SL1344_0979		0	0	4.95	1.65	0	0	0	0	55.37	0	0	18.46	0	21.99	11.22	11.07	0	0	4.62	1.54	4.28	5.13	6.45	5.29
SL1344_0980		3.61	3.74	3.14	3.5	5.47	1.98	0	2.48	8.71	6.45	1.88	5.68	5.91	4.42	3.21	4.51	7.74	4.39	7.51	6.55	8.81	6.78	9.56	8.39
SL1344_0981		8.84	5.5	1.31	5.22	25.06	0	29.94	18.33	0	8.47	8.63	5.7	0	11.61	17.78	9.8	6.22	15.13	1.83	7.72	14.42	20.33	14.77	16.51
SL1344_0982		8.85	3.68	5.24	5.92	16.74	24.58	39.99	27.11	19.53	16.98	5.76	14.09	0	19.39	41.57	20.32	20.77	20.21	12.23	17.74	12.47	14.13	18.21	14.94
SL1344_0983	sodCa	41.28	53.69	34.21	43.06	1342.48	1295.19	1212.04	1283.24	1447.96	1672.9	574.86	1231.91	1298.46	1479.21	1417.76	1398.48	478.34	463.22	367.16	436.24	112.03	101.83	61.92	91.93
SL1344_0984		2.11	2.63	2.5	2.41	0	8.79	0	2.93	13.97	0	0	4.66	8.66	2.77	0	3.81	1.49	3.61	4.37	3.16	1.62	1.55	2.44	1.87
SL1344_0985		0	3.3	0.59	1.3	11.29	0	0	3.76	0	3.82	3.89	2.57	0	0	0	0	1.4	1.14	0.82	1.12	2.29	1.1	2.81	2.07
SL1344_0986		3.13	0	1.85	1.66	0	0	0	0	0	4	0	1.33	0	0	0	0	2.93	10.7	2.59	5.41	2.8	2.3	3.21	2.77
SL1344_0987		1.09	1.65	1.4	1.38	4.97	3.65	0	2.87	7.24	6.72	2.56	5.51	1.8	5.18	3.37	3.45	2.77	2	2.9	2.56	5.94	5.33	6.31	5.86
SL1344_0988		0.67	0	0	0.22	0	0	0	0	0	0	0	0	2.73	1.75	1.34	1.94	0.75	4.04	1.87	2.22	2.17	3.34	3.02	2.84
SL1344_0989		2.52	1.05	2.99	2.19	0	52.57	0	17.52	0	0	4.93	1.64	0	6.64	0	2.21	5.33	0	3.14	2.82	4.85	6.51	4.54	5.3
SL1344_0990		3.41	2.83	0	2.08	0	0	0	0	0	13.08	0	4.36	0	0	0	0	0	11.68	5.65	5.78	5.24	17.58	7.89	10.24
SL1344_0991	sseI	4.81	11.69	3.42	6.64	581.57	656.36	228.95	488.96	727.43	892.91	262.45	627.6	307.64	358.98	742.97	469.86	225.14	188.3	174.8	196.08	87.69	84.32	78.39	83.47
SL1344_0992		3.51	4.37	5.19	4.36	218.95	102.31	71.33	130.86	232.24	188.42	157.57	192.74	230.36	249.03	275.41	251.6	133.35	132.15	95.96	120.49	76.82	54.26	50.98	60.69
SL1344_0993		1.17	0.97	3.47	1.87	0	9.76	0	3.25	0	0	0	0	0	3.08	0	1.03	0	5.35	1.94	2.43	4.95	4.31	2.71	3.99
SL1344_0994		4.91	2.04	7.26	4.73	0	0	0	0	0	0	9.58	3.19	0	6.45	29.62	12.02	0	5.6	4.07	3.22	3.77	6.32	4.42	4.83
SL1344_0995	gtgE	63.08	79.88	27.21	56.73	97.03	71.24	28.98	65.75	113.21	90.21	16.7	73.37	26.32	89.92	111.88	76.04	21.07	29.28	24.81	25.05	29.97	29.91	25.02	28.3
SL1344_0996	gtgF	26.88	3.19	0	10.02	43.56	0	0	14.52	0	29.45	0	9.82	0	10.09	46.36	18.82	10.81	17.53	9.55	12.63	10.32	24.03	32.59	22.31
SL1344_0997	pepN	18.25	30.54	19.28	22.69	44.6	81.86	34.25	53.57	68.76	70	19.73	52.83	39.17	50.92	41.81	43.97	32.4	33	29.08	31.5	21.67	21.5	20.43	21.2
SL1344_0998	pyrD	8.49	14.68	7.12	10.09	8.02	5.89	0	4.64	4.68	2.71	13.81	7.07	0	1.86	14.23	5.36	9.95	10.49	4.69	8.38	13.04	13.54	10	12.19
SL1344_0999	ycbW	93.37	108.97	60.08	87.47	61.4	78.9	110.02	83.44	44.78	77.84	10.57	44.4	11.1	53.35	59.91	41.45	26.66	16.99	23.55	22.4	42.61	47.33	54.98	48.31
SL1344_1000		13.89	4.39	6.66	8.31	0	22.03	0	7.34	4.38	10.15	5.16	6.56	0	5.21	2.66	2.63	7.45	3.02	8.22	6.23	7.11	2.92	5.44	5.16
SL1344_1001	rlmL	22.61	12.13	13.59	16.11	11.84	8.69	18.86	13.13	20.72	25.35	5.43	17.17	11.42	11.89	35.01	19.44	26.44	25.01	27.1	26.19	42.76	43.55	49.12	45.14
SL1344_1002	uup	16.54	21.39	18.67	18.87	26.18	25.63	10.42	20.74	38.18	28.02	10.51	25.57	25.25	17.18	6.19	16.21	22.19	21.94	13.07	19.07	31.16	27.61	28.19	28.99
SL1344_1003	pqiA	4.68	8.26	7.62	6.86	13.28	4.88	7.93	8.7	15.5	8.98	2.29	8.92	4.8	9.23	9.42	7.82	9.06	10.69	9.22	9.65	10.34	9.05	12.19	10.53
SL1344_1004	pqiB	21.02	25.99	20.38	22.46	65.95	52.15	18.18	45.43	53.27	58.31	8.73	40.11	18.35	21.16	37.8	25.77	20.77	21.94	13.34	18.69	17.17	19.43	19.32	18.64
SL1344_1005	ymbA	10.42	28.12	6.94	15.16	0	0	0	0	17.24	34.97	15.26	22.49	0	27.39	5.24	10.88	12.83	17.84	10.79	13.82	12.51	13.43	11.39	12.44
SL1344_1006	rmf	237.15	251.58	189.78	226.17	199.29	438.98	297.57	311.95	523.17	336.86	274.35	378.13	72.07	242.4	565.62	293.36	352.31	410.95	323.89	362.39	207.45	227.98	229.25	221.56
SL1344_1007	fabA	220.87	203.36	243.9	222.71	64.25	141.52	153.49	119.76	56.22	130.32	60.81	82.45	34.85	55.82	45.59	45.42	45.83	61.4	38.72	48.65	58.72	52.65	66.63	59.33
SL1344_1008	lonH	32.83	38.39	40.79	37.34	57.71	38.52	106.53	67.59	36.73	33.7	7.22	25.88	11.38	32.82	11.17	18.46	24.08	21.11	22.23	22.47	28.77	22.47	26.99	26.08
SL1344_1009	ycbG	27.58	41.76	24.97	31.44	73.63	13.52	65.96	51.04	53.69	43.56	44.35	47.2	0	29.85	39.18	23.01	29.69	25.92	38.99	31.53	30.53	40.02	26.7	32.42
SL1344_1010	ompA	1323.2	1601.53	1233.14	1385.96	972.81	871.08	538.51	794.13	1204.24	1056.13	220.48	826.95	457.65	615.69	482.62	518.65	331.64	333.34	201.04	288.68	340.56	339.06	362.32	347.31
SL1344_1011	sulA	56.19	55.03	41.8	51.01	147.12	180.03	273.36	200.17	104.9	221.04	22.5	116.15	11.82	37.87	110.19	53.29	190.63	166.07	222.09	192.93	396.2	383.01	403.88	394.36
SL1344_1012	sxy	7.27	7.05	3.59	5.97	13.75	40.39	0	18.05	8.02	13.95	0	7.32	0	25.49	0	8.5	1.71	2.77	3.01	2.5	8.85	10.27	12.16	10.42
SL1344_1013	yccS	13.97	12.44	5.65	10.69	7.73	5.68	4.62	6.01	22.54	13.06	6.65	14.09	2.8	4.48	6.86	4.71	4.79	8.55	2.82	5.39	7.59	9.28	10.77	9.21
SL1344_1014	yccF	29.6	16.38	13.63	19.87	37.31	13.7	89.14	46.71	10.88	18.92	19.26	16.35	0	21.61	13.24	11.62	6.94	11.26	8.18	8.79	10.74	16.95	13.53	13.74
SL1344_1015	helD	10	17.49	13.53	13.67	12.15	17.85	19.35	16.45	16.54	27.39	5.58	16.5	2.93	13.14	25.87	13.98	17.09	11.82	11.24	13.38	17.41	16.3	16.71	16.81
SL1344_1016	mgsA	44.84	35.9	21.8	34.18	36.33	133.39	21.7	63.81	52.99	92.12	18.76	54.62	13.14	50.51	32.23	31.96	18.03	21.93	23.89	21.28	20.91	33.02	25.12	26.35
SL1344_1017	yccT	3.32	1.84	0	1.72	0	0	0	0	7.33	0	0	2.44	0	0	4.46	1.49	3.12	0	5.51	2.88	10.21	10.6	9.97	10.26
SL1344_1018		21.16	24.88	16.7	20.91	40	73.43	47.78	53.74	58.34	47.33	48.19	51.29	28.93	46.34	14.19	29.82	37.22	26.15	36.52	33.3	26.41	29.21	28.11	27.91
SL1344_1019	yccV	41.64	71.07	15.07	42.59	52.49	38.54	31.35	40.8	45.94	150.84	45.17	80.65	94.92	24.32	74.49	64.58	35.82	47.52	53.68	45.67	49.76	48.55	66.63	54.98
SL1344_1020	yccW	14.53	27.65	9.32	17.17	13.74	20.18	8.21	14.04	24.05	37.16	2.36	21.19	19.88	12.73	24.38	19	20.46	13.13	18.07	17.22	23.49	24.08	22.89	23.49
SL1344_1021		1.34	4.44	3.17	2.98	0	11.15	0	3.72	26.57	20.53	0	15.7	0	7.04	16.16	7.73	1.88	3.05	7.76	4.23	5.14	6.41	7.57	6.37
SL1344_1022		12.24	17.2	8.36	12.6	10.68	7.84	63.79	27.44	0	28.89	18.38	15.76	0	19.8	11.37	10.39	5.3	17.19	11.7	11.4	13.74	13.52	13.8	13.69
SL1344_1023	yccX	2.61	4.33	4.64	3.86	0	21.74	0	7.25	69.09	10.01	0	26.37	0	0	10.5	3.5	7.35	2.98	4.33	4.88	10.02	14.41	13.42	12.62
SL1344_1024	yccK	75.79	57.37	29.03	54.07	50.58	55.71	0	35.43	44.26	102.59	8.7	51.85	54.88	76.17	26.92	52.65	72.16	53.42	46.18	57.25	66.78	71.4	71.08	69.75
SL1344_1025	yccA	289.3	212.8	179.52	227.21	446.24	221.96	120.37	262.86	285.52	423.38	153.58	287.49	354	270.14	301.31	308.49	180.37	183.9	173.49	179.25	270.94	324.21	338.04	311.06
tRNA_13	tRNA_13	331.78	500.16	320.45	384.13	0	145.46	118.32	87.92	115.57	133.94	306.81	185.44	0	45.9	245.99	97.29	258.05	328.8	593.28	393.38	653.84	800.41	1147.31	867.19
SL1344_1026	pipA	69.03	52.83	20.43	47.43	269.18	206.63	116.93	197.58	235.56	202.69	58.96	165.73	177	187.1	204.02	189.37	106.26	132.93	71.5	103.56	57.57	63.93	64.07	61.86
SL1344_1027	pipB	1.68	6.96	2.48	3.71	1854.23	1752.45	726.95	1444.54	1886.07	1835.55	487.63	1403.08	845.97	1172.03	1396.63	1138.21	565.06	593.99	328.53	495.86	142.6	144.73	143.34	143.55
SL1344_1028		0	0	0	0	0	0	0	0	0	25.88	0	8.63	0	0	9.05	3.02	0	0	0	0	1.73	1.66	2.89	2.09
SL1344_1029	pipC	165.61	139.28	118.41	141.1	463.59	716.62	408.04	529.42	170.81	255.71	109.17	178.56	0	39.57	155.81	65.13	15.14	17.18	19.6	17.31	10.74	19.8	23.78	18.11
