Locus Tag	Name	Anaerobic growth	Anaerobic shock
SL1344_0212	yaeH	337.1	1003.5
SL1344_0213		14.1	13.6
STnc3110		88.3	95.9
SL1344_0214	dapD	140.6	190.1
SL1344_0215	glnD	15.1	15
SL1344_0216	map	55.2	63
t44	t44	379	347.1
SL1344_0217	rpsB	218.6	178.7
SL1344_0218	tsf	135.7	131.2
SL1344_0219	pyrH	44.2	36.2
SL1344_0220	frr	306.6	307.2
sRNA1		812.2	633.6
SL1344_0221	dxr	34.2	28.6
STnc920		238.6	378.7
SL1344_0222	uppS	46.6	48.5
SL1344_0223	cdsA	40.9	49.6
SL1344_0224	yaeL	104.2	121.2
SL1344_0225	yaeT	129.4	134.8
SL1344_0226	hlpA	345	389.1
SL1344_0227	lpxD	158.7	166
SL1344_0228	fabZ	90.8	105.8
SL1344_0229	lpxA	80.3	75.6
SL1344_0230	lpxB	39.1	34
SL1344_0231	rnhB	33.2	34.7
SL1344_0232	dnaE	34.2	32.2
SL1344_0233	accA	43.5	59.2
SL1344_0234		12.1	13.8
SL1344_0235	ldcC	20.6	25.6
SL1344_0236	yaeR	42.1	51.6
SL1344_0237	mesJ	22.7	19.5
SL1344_0238	rof	430.2	837.9
SL1344_0239	yaeP	351	720.1
SL1344_0240	yaeQ	19.3	23.8
SL1344_0241	yaeJ	69.6	84
SL1344_0242	cutF	47.7	34
SL1344_0243	proS	34	34.5
SL1344_0244	yaeB	30.8	32.9
SL1344_0245	rcsF	64.2	100.8
SL1344_0246	metQ	97.1	110.5
SL1344_0247	yaeE	35.2	24
SL1344_0248	abc	26.1	13.3
SL1344_0249	yaeD	39.6	54.1
SL1344_0250	dkgB	6.2	13.7
SL1344_0251	yafC	3.9	9.5
SL1344_0252		1.5	3.3
SL1344_0253	yafD	66.2	77.2
SL1344_0254	yafE	24.4	20.9
SL1344_0255	dniR	57.8	55.7
SL1344_0256	gloB	12	17
SL1344_0257	yafS	17.6	29.6
SL1344_0258	rnhA	25	32.9
SL1344_0259	dnaQ	32.1	43.9
SL1344_0260	sciA	4	4.1
SL1344_0261	sciB	1.6	1.4
SL1344_0262	sciC	1.9	4
SL1344_0263	sciD	5.6	4.6
SL1344_0264	sciE	2.9	5.7
SL1344_0265	sciF	1.9	2.8
SL1344_0266	sciG	1.1	1.9
SL1344_0267	sciH	1.2	1.3
SL1344_0268	sciI	1.5	1.2
SL1344_0270	sciJ	0.6	1.9
SL1344_0271	sciK	0.3	0
SL1344_0272		3.5	5.3
SL1344_0273		0.7	2.6
SL1344_0274	sciK1	0.8	0.6
SL1344_0275	sciN	0.2	0.5
SL1344_0276	sciO	0.7	1.1
SL1344_0277	sciP	1.1	1.4
SL1344_0278	sciQ	1.7	1.7
SL1344_0279	sciR	1.5	1.3
SL1344_0280	sciS	1.6	2.1
SL1344_0281	sciT	2.3	0.7
SL1344_0282	sciU	1.9	1.7
SL1344_0283	sciV	4.8	9.3
SL1344_0284	vgrS	0.9	1.6
SL1344_0285	sciW	0.3	0.3
SL1344_0286		9.2	9.4
SL1344_0286A		64.7	59.5
SL1344_0286B		35.5	44.9
SL1344_0288	sciX	17.3	27.8
SL1344_0289	sciY	1.9	1.5
IsrA	IsrA	0	0
SL1344_0291		3.4	4.2
SL1344_0292		1.3	0.5
SL1344_0293		4.7	11.1
SL1344_0294		0.3	0
SL1344_0295	safA	12.8	14.2
SL1344_0296	safB	2.9	3.4
SL1344_0297	safC	6	7.2
SL1344_0298	safD	5.9	6.4
SL1344_0299	ybeJ	3	2.6
SL1344_0300	sinR	26.6	12
SL1344_0301		5.5	5.9
SL1344_0302	pagN	24.8	51.5
SL1344_0303	sciZ	14.5	18.9
STnc1030		10.3	13.3
STnc1040		5.5	5.9
SL1344_0304	yafV	21.4	25.3
SL1344_0305	fadE	9	16.8
SL1344_0306	gmhA	84.2	109.2
SL1344_0307	yafJ	36.6	43.3
SL1344_0308	yafK	30.7	34.7
SL1344_0309	dbh	10.8	15
SL1344_0310		8	5.4
SL1344_0311	prfH	7.7	5.8
SL1344_0312	pepD	125.1	127.8
SL1344_0313	gpt	28.1	40.7
SL1344_0314	frsA	40.6	52.5
SL1344_0315	crl	134	161.9
SL1344_0316	phoE	8.9	10.7
SL1344_0317	proB	37	41.6
SL1344_0318	proA	29.4	33.1
SL1344_0319		1	0.7
SL1344_0320	dhaF	0.9	2
SL1344_0322		425	2692.8
SL1344_0323		0.5	4.3
SL1344_0324	leuC2	1.4	2.3
SL1344_0325	leuD2	1.7	0.2
SL1344_0326		2.4	3.6
SL1344_0327		6.6	8.6
STnc3270		46	140.9
SL1344_0328		4.5	9.3
SL1344_0329		17.3	13.6
SL1344_0330		2	6.8
