Locus Tag	gene	24hr_r1	24hr_r2	24hr_r3	24hr (Avg)
SL1344_0212	yaeH	43.05	41.97	43.97	43
SL1344_0213		34.62	34.25	42.69	37.19
SL1344_0214	dapD	25.29	24.9	26.55	25.58
SL1344_0215	glnD	7.17	8.08	8.19	7.81
SL1344_0216	map	59.95	61.55	58.19	59.9
SL1344_0217	rpsB	2041.91	2247.28	1773.61	2020.93
SL1344_0218	tsf	1121.99	1104.18	824.43	1016.87
SL1344_0219	pyrH	123.93	123.65	131.11	126.23
SL1344_0220	frr	295.31	343.7	265.12	301.38
sRNA1	sRNA1	82.33	87.24	55.13	74.9
SL1344_0221	dxr	44.74	41.09	45.89	43.91
SL1344_0222	uppS	129.68	120.05	123.16	124.3
SL1344_0223	cdsA	88.41	82.23	126.54	99.06
SL1344_0224	yaeL	159.79	163.77	176.32	166.63
SL1344_0225	yaeT	130.44	119.68	120.55	123.56
SL1344_0226	hlpA	254.94	266.68	196.76	239.46
SL1344_0227	lpxD	114.04	127.76	94.21	112
SL1344_0228	fabZ	134.95	148.95	165.39	149.76
SL1344_0229	lpxA	107.23	115.82	102.2	108.42
SL1344_0230	lpxB	29.2	23.76	36.8	29.92
SL1344_0231	rnhB	34.97	34.43	39.24	36.21
SL1344_0232	dnaE	53.39	52.89	57.47	54.58
SL1344_0233	accA	61.38	70.11	61.16	64.22
SL1344_0234		24.12	23.28	17.12	21.51
SL1344_0235	ldcC	3.68	4.54	7.31	5.18
SL1344_0236	yaeR	16.65	9.72	10.18	12.18
SL1344_0237	mesJ	13.49	11.37	9.19	11.35
SL1344_0238	rof	133.07	129.69	121.03	127.93
SL1344_0239	yaeP	129.2	157.3	128.9	138.47
SL1344_0240	yaeQ	16.02	16.85	23.19	18.68
SL1344_0241	yaeJ	7.34	9.6	18.77	11.9
SL1344_0242	cutF	38.17	37.36	43.32	39.62
SL1344_0243	proS	25.08	25.62	24.15	24.95
SL1344_0244	yaeB	8.37	10.69	11.74	10.27
SL1344_0245	rcsF	33.46	30.08	33.61	32.38
SL1344_0246	metQ	55.64	46.71	53.92	52.09
SL1344_0247	yaeE	16.39	21.92	17.91	18.74
SL1344_0248	abc	52.18	50.55	42.26	48.33
SL1344_0249	yaeD	23.39	37.21	24.66	28.42
tRNA_1	tRNA_1	23832.73	19529.98	48699.82	30687.51
tRNA_2	tRNA_2	23972.06	23165.19	26241.42	24459.56
tRNA_3	tRNA_3	25024.95	22770.18	28046.96	25280.7
SL1344_0250	dkgB	44.9	39.34	41.81	42.02
SL1344_0251	yafC	2.47	2.95	2.48	2.63
SL1344_0252		7.43	8.96	6.74	7.71
SL1344_0253	yafD	23.86	21.49	27.12	24.16
SL1344_0254	yafE	8.41	12.27	10.78	10.49
SL1344_0255	dniR	513.04	544.97	473.22	510.41
SL1344_0256	gloB	4.85	7.51	9.74	7.37
