Locus Tag	gene	24hr_r1	24hr_r2	24hr_r3	24hr (Avg)
SL1344_2369A	ypdK	31.74	38.03	29.22	33
SL1344_2370	yfdZ	15.02	15.27	14.62	14.97
SL1344_2371	glk	8.76	10.07	10.75	9.86
SL1344_2372		3.42	4.15	5.04	4.2
SL1344_2373		3.41	4.25	5.71	4.46
SL1344_2374		12.42	10.28	13.61	12.1
SL1344_2375	ypeC	58.75	58.81	53.8	57.12
SL1344_2376	mntH	29.28	31.55	40.42	33.75
SL1344_2377	nupC	11.01	9.66	10.51	10.4
SL1344_2378	yfeA	6.82	8.26	7.15	7.41
tRNA_26	tRNA_26	13096.29	10673.16	12434.42	12067.96
SL1344_2379	yfeC	8.56	14.17	12.5	11.74
SL1344_2380	yfeD	15.09	17.22	15.4	15.9
SL1344_2381	gltX	41.4	47.9	41.32	43.54
SL1344_2382	xapR	2.87	5.19	5.33	4.46
SL1344_2383		1.78	3.42	0	1.73
SL1344_2384	xapB	6.05	6.23	6.76	6.35
SL1344_2385	flhAb	1.35	0.65	3.4	1.8
SL1344_2386	yfeN	0.74	2.13	2.97	1.95
SL1344_2387	yfeR	6.69	11.66	7.54	8.63
SL1344_2388	yfeH	4.23	9.2	5.48	6.3
SL1344_2389		12.41	13.08	10.8	12.1
SL1344_2390	lig	27.4	24.79	29.3	27.16
SL1344_2391	zipA	87.41	86.81	81.29	85.17
SL1344_2392	cysZ	12.58	17.03	17.1	15.57
SL1344_2393	cysK	80.93	62.57	58.46	67.32
SL1344_2394	ptsH	221.38	229.04	186.4	212.27
SL1344_2395	ptsI	121.83	121.33	108.11	117.09
SL1344_2396	crr	330.9	319.35	214.54	288.26
SL1344_2397		14.14	6.78	14.2	11.71
SL1344_2398	pdxK	16.26	12.78	17.2	15.42
SL1344_2399	ptsJ	3.27	3.13	6.71	4.37
SL1344_2400	yfeJ	1.18	0.38	1.57	1.04
SL1344_2401	yfeK	11.12	22.03	15.39	16.18
SL1344_2402	yfeL	16.72	20.04	20.64	19.13
SL1344_2403	cysM	15.77	15.12	10.35	13.75
SL1344_2404	cysA	20.03	19.94	17.36	19.11
SL1344_2405	cysW	16.09	25.61	22.63	21.45
SL1344_2406	cysU	15.55	15.56	24.23	18.45
SL1344_2407	cysP	21.07	16.74	22.65	20.15
SL1344_2408	ucpA	25.28	22.19	20.98	22.82
SL1344_2409		71.75	73.29	67.34	70.79
SL1344_2410	yfeY	49.47	42.73	62.65	51.62
SL1344_2411	yfeZ	31.99	23.45	33.6	29.68
SL1344_2412		50.37	40.66	48.81	46.61
SL1344_2413	amiA	24.96	19.89	28	24.28
SL1344_2414	hemF	4.39	3	5.45	4.28
SL1344_2415		10.27	9.03	9.75	9.68
SL1344_2416		1.99	3.38	3.99	3.12
SL1344_2417	eutR	6.96	7.7	3.94	6.2
SL1344_2418	eutK	2.85	3.83	3.44	3.37
SL1344_2419	eutL	4.7	6.56	4.01	5.09
SL1344_2420	eutC	3.14	2.11	2.53	2.59
SL1344_2421	eutB	3.52	4.17	2.77	3.49
SL1344_2422	eutA	3.41	3.27	4.17	3.62
SL1344_2423	eutH	6.89	2.2	4.15	4.42
SL1344_2424	eutG	2.14	2.73	2.7	2.52
SL1344_2425	eutJ	3.69	2.25	4.27	3.41
SL1344_2426	eutE	3.21	1.92	2.82	2.65
SL1344_2427	eutN	1.88	1.81	3.15	2.28
SL1344_2428	eutM	0.97	2.79	0.65	1.47
SL1344_2429	eutD	0.83	0.8	1.86	1.16
SL1344_2430	eutT	2.1	2.69	3.05	2.62
SL1344_2431	eutQ	2.04	2.35	3.56	2.65
SL1344_2432	eutP	5.88	1.69	3.94	3.84
SL1344_2433	eutS	1.68	3.22	2.81	2.57
SL1344_2435	maeB	11.74	10.78	13.57	12.03
SL1344_2436	tal	9.19	6.25	5.96	7.13
SL1344_2437	tktB	7.46	7.56	10.09	8.37
SL1344_2438		23.27	27	31.98	27.42
SL1344_2439	ypfG	19.98	13.98	19.89	17.95
SL1344_2440	yffH	19.1	27.71	15.42	20.74
SL1344_2441		7.81	6.86	7.99	7.56
SL1344_2442	aegA	4.02	3.86	3.94	3.94
SL1344_2443	narQ	5.14	2.54	4.22	3.96
SL1344_2444	acrD	6.79	8.41	8.31	7.84
SL1344_2444A	ypfM	224.37	251.71	204.58	226.89
SL1344_2445	yffB	15.82	11.38	18.01	15.07
SL1344_2446	dapE	16.99	18.21	20.42	18.54
SL1344_2447		54.92	29.7	45.26	43.3
SL1344_2448	ypfI	17.45	15.39	19.91	17.58
SL1344_2449		34.92	27.85	33.65	32.14
SL1344_2450	purC	109.03	100.36	99.99	103.12
SL1344_2451	nlpB	248.7	237.64	289.28	258.54
SL1344_2452	dapA	172.59	201.13	202.13	191.95
SL1344_2453	gcvR	33.48	30.68	29.02	31.06
SL1344_2454	bcp	33.56	35.04	36.11	34.91
SL1344_2455		10.47	12.27	6.23	9.66
SL1344_2456	perM	12.41	16.7	25.1	18.07
SL1344_2457		6.74	8.12	10.96	8.61
SL1344_2458	yfgD	20.4	12.79	11.56	14.91
SL1344_2459	yfgE	73.04	81.19	74.66	76.3
SL1344_2460	uraA	6.77	6.91	5.71	6.46
SL1344_2461	upp	103.48	112.58	95.81	103.96
SL1344_2462	purM	126.64	125.25	104.16	118.68
SL1344_2463	purN	73.73	73.64	73.9	73.76
SL1344_2464	ppk	14.72	15.68	16.16	15.52
SL1344_2465	ppx	15.72	14.02	15.3	15.01
SL1344_2466		6.49	6.71	6.22	6.47
SL1344_2467		7.58	11.42	6.53	8.51
SL1344_2468		104.7	86.24	165.89	118.94
SL1344_2469		57.36	58.27	53.89	56.5
SL1344_2470		10.75	8.34	3.71	7.6
SL1344_2471	guaA	75.91	71.91	78.21	75.34
SL1344_2472	guaB	115.08	99.46	116.81	110.45
SL1344_2473	xseA	13.57	14.81	16.5	14.96
SL1344_2474	shdA	4.6	5.65	5.42	5.23
SL1344_2475	ratB	6.4	6.62	8	7.01
SL1344_2477	ratA	7.05	7.24	7.85	7.38
SL1344_2478	sinI	11.16	7.88	9.44	9.49
SL1344_2479	sinH	4.37	5.05	4.65	4.69
SL1344_2480	yfgJ	7.65	13.44	14.51	11.86
SL1344_2481	engA	88.59	85.11	82.51	85.41
SL1344_2482	yfgL	220.45	217.07	203.33	213.61
SL1344_2483	yfgM	179.9	198.16	186.47	188.17
SL1344_2484	hisS	111.2	121.87	105.25	112.78
SL1344_2485	gcpE	37.54	40.33	38.46	38.78
SL1344_2486	yfgA	56.11	51.64	58.04	55.26
SL1344_2487	yfgB	42.51	34.04	43.03	39.86
SL1344_2488	ndk	47.05	41.97	35.01	41.34
SL1344_2489		2.28	3.75	3.72	3.25
SL1344_2490		3.83	5.01	4.43	4.42
SL1344_2491		2.24	1.29	1.5	1.68
SL1344_2492		6.87	5.56	5.63	6.02
SL1344_2493	pbpC	9.73	9.1	10.26	9.7
SL1344_2494		16.04	15.76	17.28	16.36
SL1344_2495		23.75	21.49	26.88	24.04
SL1344_2496		10.12	5.66	9.03	8.27
RyfA	RyfA	58.64	68.2	75.95	67.6
SL1344_2497	sseBb	12.34	8.35	15.55	12.08
SL1344_2498	pepB	22.39	24.2	25.72	24.11
SL1344_2499	yfhJ	183.08	195.76	151.82	176.89
SL1344_2500	fdx	164.79	145.08	177.34	162.4
SL1344_2501	hscA	90.43	85.82	92.57	89.61
SL1344_2502	hscB	101.18	134.22	121.58	118.99
SL1344_2503	iscA	429.02	372	425.66	408.9
SL1344_2504	nifU	358.27	309.19	296.58	321.35
SL1344_2505	iscS	371.67	377.67	337.43	362.26
SL1344_2506	yfhP	623.75	588.68	632.61	615.01
SL1344_2507		228.87	204.64	197.89	210.46
SL1344_2508	suhB	179.94	195.37	191.18	188.83
SL1344_2509		8.02	6.46	8.59	7.69
SL1344_2510	asrA	2.16	1.81	3.07	2.35
SL1344_2511	asrB	6.89	4.29	2.77	4.65
SL1344_2512	asrC	8.34	7.2	10.43	8.65
SL1344_2513		12.85	10.95	16.07	13.29
SL1344_2514		16.33	11.43	14.48	14.08
SL1344_2515	csiE	4.19	5.71	3.99	4.63
SL1344_2516	hcaT	25.22	26.79	37.09	29.7
SL1344_2517	glyA	127.23	123.26	131.4	127.3
SL1344_2518	hmpA	6.63	6.35	11.09	8.02
SL1344_2519	cadC	51.26	54.21	44.46	49.98
SL1344_2520	cadB	25.39	30.02	27.91	27.78
SL1344_2521	cadA	23.82	26.34	18.4	22.85
SL1344_2522	yjdL	2.12	1.85	4.78	2.92
SL1344_2523	glnB	40	56.72	45.2	47.3
SL1344_2524	yfhA	27.18	24.84	25.25	25.76
SL1344_2525	yfhG	15.12	10.6	23.2	16.31
SL1344_2526	yfhK	17.97	17.79	19.49	18.42
GlmY	GlmY	2828.87	3067.57	2611.53	2835.99
SL1344_2527	purG	40.22	45.01	45.27	43.5
SL1344_2529	yfhD	27.73	21.51	23.09	24.11
SL1344_2530	yfhC	54.18	56.36	48.6	53.05
SL1344_2531	yfhB	31.05	34.87	21.98	29.3
SL1344_2532		10.35	8.33	9.56	9.41
SL1344_2533	murQ	11.04	9.07	6.55	8.89
SL1344_2534	yfhH	7.31	6.37	7.34	7
SL1344_2535		24.39	25.57	22.43	24.13
SL1344_2536		7.3	10.84	11.2	9.78
SL1344_2537		0.3	3.21	2.24	1.92
SL1344_2538	yfhL	97.5	123.58	144.35	121.81
SL1344_2539	acpS	25.94	24.87	24.32	25.04
SL1344_2540	pdxJ	33.14	27.7	21.16	27.33
SL1344_2541	recO	33.27	50.44	43.52	42.41
SL1344_2542	era	93.37	92.19	74.4	86.65
SL1344_2543	rnc	59.89	60.1	72.68	64.22
SL1344_2544	lepB	60.44	66.26	68.35	65.02
SL1344_2545	lepA	65.29	63.64	62.38	63.77
SL1344_2546	gogB	6.45	8.43	5.89	6.92
SL1344_2547		61.26	69.62	56.66	62.51
STnc1380	STnc1380	193.38	132.99	90.08	138.82
SL1344_2548		13	16.62	2.9	10.84
SL1344_2549		11.9	10.11	15.66	12.56
SL1344_2550		1.08	1.4	2.89	1.79
SL1344_2551		1.71	2.29	2.06	2.02
SL1344_2552		2.85	2.35	1.73	2.31
SL1344_2552A		1.16	1.12	0	0.76
SL1344_2553		1.7	2.56	2.63	2.3
SL1344_2554		3.05	2.09	2.91	2.68
SL1344_2555		4.59	4.76	4.35	4.57
SL1344_2556		9.24	6.93	5.38	7.19
SL1344_2557		16.27	14.77	12.61	14.55
SL1344_2558		6.05	4.91	5.07	5.34
SL1344_2559		1.78	1.7	0.59	1.36
SL1344_2560		2.14	2.73	2.86	2.58
SL1344_2561		15.86	6.88	12.14	11.62
SL1344_2562		2.81	4.71	6.58	4.7
SL1344_2563	gipA	15.77	20.31	19.92	18.66
SL1344_2564		4.87	6.54	9.14	6.85
SL1344_2565		3.68	8.46	6.4	6.18
SL1344_2566		5.49	6.02	5.25	5.59
SL1344_2567		6.03	3.94	4.59	4.85
SL1344_2568		2.44	0.78	2.17	1.8
SL1344_2569		3.89	2.61	3.91	3.47
SL1344_2570		5.35	6.49	6.92	6.26
SL1344_2571		6.94	7.98	2.79	5.9
SL1344_2572		3.65	4.47	2.83	3.65
SL1344_2573		0.52	3.47	2.08	2.02
SL1344_2574		18.96	11.45	12.23	14.21
SL1344_2575		5.7	5.14	3.13	4.66
SL1344_2576		2.42	2.46	4.1	3
SL1344_2577		6.5	11.61	8.01	8.71
IsrI	IsrI	34.21	28.42	27.49	30.04
tRNA_27	tRNA_27	123.47	129.46	186.02	146.31
IsrJ	IsrJ	1209.93	1547.84	1078.47	1278.75
SL1344_2578		21.01	23.02	26.8	23.61
STnc1160	STnc1160	1814.72	2125.96	2363.45	2101.38
IsrK	IsrK	107.47	124.35	191.08	140.97
SL1344_2579		10.82	13.56	15.32	13.23
SL1344_2580		5.31	7.71	11.71	8.24
SL1344_2581		28.56	31.45	30.96	30.32
SL1344_2582		81.04	102.7	96.2	93.31
SL1344_2583		129.47	165.49	177.95	157.64
SL1344_2584		515.61	502.25	377.26	465.04
SL1344_2585		17.7	22.62	25.67	22
SL1344_2586		8.02	1.92	5.37	5.1
SL1344_2587		6.9	7.03	9.54	7.82
SL1344_2588		4.19	1.72	2.41	2.78
SL1344_2589		5.51	2.44	3.4	3.78
SL1344_2590	gpP	2.04	1.95	1.91	1.96
SL1344_2591	gpO	7.78	7.16	10	8.31
STnc1390	STnc1390	53.65	64.29	65.86	61.27
SL1344_2592	cIIa	2.88	3.44	6.18	4.17
SL1344_2593		99.28	83.9	90.61	91.26
SL1344_2594		58.93	59.48	56.49	58.3
SL1344_2595		34.18	28.84	24.72	29.25
SL1344_2596		0	1.72	2.42	1.38
STnc1400	STnc1400	116.28	240.29	256.08	204.22
SL1344_2597	recEb	3.04	2.09	2.17	2.43
SL1344_2597A		3.3	1.22	2.5	2.34
SL1344_2598		1.77	4.52	1.58	2.62
SL1344_2599		2.98	0.95	2.66	2.19
SL1344_2600		31.86	32.08	29	30.98
SL1344_2601	rseC	42.34	36.08	66.54	48.32
SL1344_2602	rseB	107.24	127.1	146.97	127.1
SL1344_2603	rseA	609.24	626.44	649.36	628.35
SL1344_2604	rpoE	640.71	649.92	668.79	653.14
SL1344_2605	nadB	5.9	7.32	9.07	7.43
SL1344_2606	yfiC	31.34	26.75	27.38	28.49
SL1344_2607	srmB	36.95	36.23	39.59	37.59
SL1344_2608	yfiE	19.42	15.62	21.82	18.95
SL1344_2609	yfiK	1.44	5.06	3.21	3.24
SL1344_2610	yfiD	350.78	304.56	259.02	304.79
SL1344_2611	ung	33.93	30.18	31.48	31.86
SL1344_2612	yfiF	25.26	23.17	23.82	24.09
SL1344_2613	trxC	47.05	48.98	61.67	52.57
SL1344_2614	yfiP	11.18	15.88	11.93	13
SL1344_2615	yfiQ	13.24	11.47	10.28	11.66
SL1344_2616	pssA	42.82	46.23	42.03	43.7
SL1344_2617	yfiM	3.49	2.51	2.92	2.97
SL1344_2618	kgtP	7.79	8.72	8.99	8.5
SL1344_2619		8.05	10.09	9.95	9.36
tRNA_28	tRNA_28	46684.49	45250.31	61409.86	51114.89
SL1344_2620	clpB	88.12	80.18	82.68	83.66
SL1344_2621	yfiH	80.14	79.05	91.33	83.51
SL1344_2622	rluD	60.64	66.4	61.78	62.94
SL1344_2623	yfiO	131.85	139.95	133.32	135.04
SL1344_2624	yfiA	731.64	676.64	667.35	691.88
STnc2090	STnc2090	656.01	575.92	669.65	633.86
sRNA3	sRNA3	201.75	199.16	342.42	247.78
SL1344_2625	pheA	38.85	39.11	37.07	38.34
SL1344_2626		6.82	5.65	6.44	6.3
SL1344_2627	tyrA	47.25	43.27	47.19	45.91
SL1344_2628	aroF	31.32	33.56	39.48	34.79
SL1344_2629	yfiR	10.33	20.85	15.66	15.61
SL1344_2630	yfiN	18.47	23.46	18.55	20.16
SL1344_2631	int	59.88	56.37	48.72	54.99
SL1344_2632		61.66	65.51	84.26	70.48
SL1344_2633		44	52.41	47.54	47.98
SL1344_2634		0	0	0	0
SL1344_2635	cIIb	1.66	0.53	0.74	0.98
SL1344_2636		0	0	0	0
SL1344_2637		1.67	1.6	0	1.09
SL1344_2638		0	1.19	0.83	0.67
SL1344_2639		1.26	0	0.84	0.7
SL1344_2640		0.54	0.52	1.09	0.71
SL1344_2641		1.72	1.94	2.44	2.03
SL1344_2642	gpF	6.39	3.34	3.89	4.54
SL1344_2643	gpD	10.15	4.4	9.38	7.98
SL1344_2644		17.17	10.58	16.7	14.82
SL1344_2645	gpB	14.21	4.95	13.84	11
SL1344_2646	rpl19	982.14	984.36	936.47	967.66
SL1344_2647	trmD	847.91	792.1	741.36	793.79
SL1344_2648	rimM	900.48	874.11	836.99	870.53
SL1344_2649	rps16	496.31	593.38	564.28	551.32
SL1344_2650	ffh	115.06	123.01	116.82	118.3
SL1344_2651	corE	28.49	22.53	33.86	28.29
SL1344_2652	corB	24.28	20.89	19.15	21.44
SL1344_2653		9.31	17.41	14.34	13.69
SL1344_2654	grpE	122.69	127.23	131.7	127.21
SL1344_2655	ppnK	10.59	9.23	7.52	9.11
SL1344_2656	recN	147.36	160.94	187.24	165.18
SL1344_2657	smpA	219.16	187.73	197.53	201.47
SL1344_2658	rnfH	72.84	60.52	59.18	64.18
SL1344_2659	yfjG	95.33	105.63	112.33	104.43
SL1344_2660	smpB	71.29	76.19	73.95	73.81
SL1344_2661	bapA	3.12	2.89	3.01	3.01
IsrL	IsrL	8.19	13.34	15.35	12.29
SL1344_2662		1	1.53	2.14	1.56
SL1344_2663		3.1	2.23	2.16	2.5
SL1344_2664		1.94	2.55	2.11	2.2
SL1344_2665		5.17	11.15	9.52	8.61
SL1344_2666		5.89	4.42	4.63	4.98
SL1344_2667	gpU	7.55	6.12	2.33	5.34
SL1344_2668		4.11	3.94	3.76	3.94
SL1344_2669	gpE'	4.73	2.27	9.51	5.5
SL1344_2670	gpE	14.92	7.15	6.87	9.65
SL1344_2671		5.47	5.77	10.25	7.16
SL1344_2672		9.13	6.91	9.66	8.57
SL1344_2673		15.26	17.29	7.43	13.33
SL1344_2674	sopE	3.51	3.37	9.14	5.34
SL1344_2675		6.76	2.37	5.17	4.77
SL1344_2676		6.61	4.84	3.38	4.94
SL1344_2677	gpI	1.4	1.34	4.05	2.26
SL1344_2678	gpJ	4.65	3.87	3.95	4.16
SL1344_2679	gpW	3.14	1.5	3.15	2.6
SL1344_2680		1.95	1.4	2.61	1.99
SL1344_2681		3.16	0.61	2.11	1.96
SL1344_2682		11.76	8.14	12.25	10.72
SL1344_2683		4.16	2.66	1.86	2.89
SL1344_2684		5.26	5.68	3.53	4.82
SL1344_2685		3.01	4.33	5.04	4.13
SL1344_2686	nucD2	4.19	5.75	6.42	5.45
SL1344_2687	nucE2	1.31	0	0.88	0.73
SL1344_2688		2.77	2.66	3.72	3.05
SL1344_2689		6.07	7.57	5.28	6.31
SL1344_2690		1.73	1.65	2.31	1.9
SL1344_2691		9.37	6.24	8.02	7.88
SL1344_2692		6.76	3.57	6.57	5.63
SL1344_2693		1.28	0.76	0.75	0.93
SL1344_2694		1.09	0.79	2.74	1.54
SL1344_2695		100.04	106.96	95.17	100.72
SL1344_2696		126.53	115.72	137.63	126.63
SL1344_2697		106.09	107.43	184.6	132.71
SL1344_2698		104.92	114.41	128.35	115.89
SL1344_2699		206.71	214.39	237.97	219.69
SL1344_2700		370.05	379.17	398.26	382.5
SL1344_2701		4.02	2.41	2.61	3.01
SL1344_2702		2.3	3.15	2.2	2.55
SL1344_2703		3.72	0	3.32	2.35
SL1344_2704		2.48	2.38	1.11	1.99
SL1344_2705		8.56	1.82	3.82	4.74
SL1344_2706	cIIc	1.66	2.12	3.33	2.37
SL1344_2707	apl	1.14	3.27	0	1.47
SL1344_2708	cI	12.74	15.97	15.74	14.82
SL1344_2709		4.67	4.48	6.44	5.2
SL1344_2710		1.16	1.78	2.65	1.86
SL1344_2712		18.13	19.87	20.03	19.34
SL1344_2713		5.48	3.82	5.67	4.99
SL1344_2714		15.71	34.77	23.47	24.65
SL1344_2715		14.39	15.27	11.36	13.67
SL1344_2716		2.49	1.43	4	2.64
SL1344_2717		0	0	0	0
SL1344_2718		1.75	5.04	4.46	3.75
SL1344_2719		170.22	177.4	147.18	164.93
SL1344_2720		1.24	0	0.83	0.69
SL1344_2721		1.76	0.84	2.36	1.65
SL1344_2722		2.36	2.61	1.9	2.29
SL1344_2723		8.77	7.09	6.97	7.61
SL1344_2725		3.53	4.23	2.66	3.47
SL1344_2726		13.22	17.88	14.54	15.22
SL1344_2727		18.73	22.2	23.03	21.32
SL1344_2728		0	1.26	0	0.42
SL1344_2729		1.09	0.78	1.19	1.02
SL1344_2730		13.61	17.89	19.26	16.92
SL1344_2731		18.94	18.49	19.14	18.85
SL1344_2732		32.05	39.11	44.22	38.46
SL1344_2733		39.67	50.39	86.33	58.8
SL1344_2734		6.49	6.74	7.96	7.06
SL1344_2735		8.28	8.66	14.62	10.52
SL1344_2736		4.02	3.86	6.54	4.81
SL1344_2737		5.28	3.73	5.03	4.68
SL1344_2738		0.94	2.02	1.73	1.56
SL1344_2739	hxlA	6.65	6.8	5.94	6.47
SL1344_2740	hxlB	1	1.92	2.68	1.87
SL1344_2741		0.67	0.96	0.9	0.84
SL1344_2742		0.91	2.8	1.71	1.81
SL1344_2743		1.68	1.77	2.92	2.12
SL1344_2744		3.54	1.23	3.66	2.81
SL1344_2745		2.56	2.02	4.13	2.9
SL1344_2746		4.61	2.95	3.97	3.84
IsrM	IsrM	3.43	2.47	4.02	3.31
SL1344_2747		8.35	12.15	8.9	9.8
SL1344_2747A		2.87	4.59	2.89	3.45
IsrN	IsrN	0	0	1.33	0.44
SL1344_2750		7.41	2.03	4.96	4.8
SL1344_2751		9.27	11.43	11.53	10.74
SL1344_2752		9.52	12.67	13.32	11.84
SL1344_2753		19.78	19.87	20.18	19.94
SL1344_2754		7.48	8.42	7.12	7.67
SL1344_2755	fljA	3.14	1	1.75	1.96
SL1344_2756	fljB	6.23	7.58	7.85	7.22
SL1344_2757	hin	10.83	8.02	8.57	9.14
SL1344_2758	iroB	26.52	25.67	27.74	26.64
SL1344_2759	iroC	9.18	9.17	9.81	9.38
SL1344_2760	iroD	3.4	3.91	4.85	4.05
SL1344_2761	iroE	3.92	2.89	5.65	4.15
SL1344_2762	iroN	105.81	98.1	105.03	102.98
SL1344_2763	pipB2	727.7	787.98	717.28	744.32
SL1344_2764	virK	89.74	101.15	104.75	98.55
SL1344_2765	mig-14	42.12	47.01	49.68	46.27
SL1344_2767	nixA	14.18	11.99	14.52	13.57
SL1344_2768	tctE	11.35	8.78	9.73	9.95
SL1344_2769	tctD	8.78	10.02	9.51	9.43
SL1344_2770		5.77	4.42	3.09	4.43
SL1344_2771		3.89	1.24	4.35	3.16
SL1344_2772		5.02	4.28	6.35	5.22
SL1344_2773	csiD	9.14	15.34	10.71	11.73
SL1344_2774	ygaF	13.99	12.35	12.05	12.8
SL1344_2775	gabD	18.28	13.24	14.2	15.24
SL1344_2776	gabT	14.93	17.47	14.85	15.75
SL1344_2777	gabP	14.28	12.34	13.61	13.41
SL1344_2778	ygaE	12.48	9.97	15.04	12.5
SL1344_2779	ygaU	50.81	44.5	43.26	46.19
SL1344_2780	yqaE	35.65	46.14	87.14	56.31
SL1344_2781		229.8	199.97	187.81	205.86
SL1344_2782	ygaP	180.64	172.15	197.9	183.57
SL1344_2783	stpA	101.14	98.98	166.96	122.36
SL1344_2784		30.11	26.46	37.8	31.46
SL1344_2785	ygaC	37.02	28.54	51.73	39.1
SL1344_2786	ygaM	34.17	27.96	25.67	29.26
SL1344_2787		10.77	11.74	12.02	11.51
SL1344_2788		1.31	2.51	2.63	2.15
SL1344_2789		1.6	3.07	4.29	2.99
SL1344_2790	nrdH	56.33	51.8	53.89	54.01
SL1344_2791	nrdI	51.52	45.44	51.06	49.34
SL1344_2792	nrdE	14.45	19.65	17.15	17.08
SL1344_2793	nrdF	26.14	31.53	21.44	26.37
SL1344_2794	proV	57.41	60.65	64.02	60.69
SL1344_2795	proW	30.18	30.45	36.51	32.38
SL1344_2796	proX	11.89	10.85	11.94	11.56
SL1344_2797		5.95	5.47	5.58	5.67
SL1344_2798	emrR	58.46	56.55	85.05	66.68
SL1344_2799	emrA	37.25	38.71	44.25	40.07
SL1344_2800	emrB	18.5	20.89	25.02	21.47
SL1344_2801		3.91	4.34	6.19	4.81
SL1344_2802	luxS	56.88	57.15	55.66	56.56
MicA	MicA	482.29	1035.68	1263.35	927.11
SL1344_2803	gshA	54.12	56.75	60.24	57.04
SL1344_2804	yqaA	77.54	79.42	87.42	81.46
SL1344_2805	yqaB	141.33	120.7	137.28	133.1
tRNA_29	tRNA_29	3549.64	3221.71	4283.52	3684.95
tRNA_30	tRNA_30	8870.58	7970.05	16814.96	11218.53
SL1344_2806	csrA	172.04	198.5	212.05	194.19
SL1344_2807	alaS	59.12	56.16	59.45	58.24
SL1344_2808	oraA	184.2	172.81	161.82	172.94
SL1344_2809	recA	1331.56	1358.48	1495.64	1395.23
SL1344_2810	ygaD	25.5	20.1	23.91	23.17
SL1344_2811	mltB	11.49	15.01	17.13	14.54
SL1344_2812	srlA	3	0.48	0.33	1.27
SL1344_2813	srlE	3.77	1.67	3.69	3.04
SL1344_2814	slrB	4.67	6.71	0	3.79
SL1344_2815	gutD	4.7	2.43	4.36	3.83
SL1344_2816	gutM	6.28	6.02	3.15	5.15
SL1344_2817	srlR	12.39	17.47	13.18	14.34
SL1344_2818	gutQ	11.38	9.51	10.16	10.35
SL1344_2819	norR	23.53	21.85	31.39	25.59
SL1344_2820	norV	2.15	2.81	2.23	2.4
SL1344_2821	norW	1.49	1.43	1.66	1.53
SL1344_2822	hydA	5.91	8.56	8.59	7.69
SL1344_2823	hydN	5.68	7.43	4.5	5.87
SL1344_2824		4.87	6.01	6.76	5.88
SL1344_2825	hycI	3.6	5.17	4.01	4.26
SL1344_2826	hycH	2.06	3.95	3.22	3.08
SL1344_2827	hycG	4.41	2.11	2.46	2.99
SL1344_2828	hycF	4.16	1.99	2.09	2.75
SL1344_2829	hycE	3.96	4.42	5.63	4.67
SL1344_2830	hycD	2.14	0.88	2.86	1.96
SL1344_2831	hycC	4.63	4.88	4.65	4.72
SL1344_2832	hycB	3.71	4	4.03	3.91
SL1344_2833	hycA	12.83	9.96	11.05	11.28
SL1344_2834		23.74	28.82	20.13	24.23
SL1344_2835	hypB	14.86	13.62	16.87	15.12
SL1344_2836	hypC	22.78	25.81	18.72	22.44
SL1344_2837	hypD	10.8	11.32	10.6	10.91
SL1344_2838	hypE	16.73	15.77	14.19	15.57
SL1344_2839	fhlA	4.88	3.9	3.9	4.23
SL1344_2840	ygbA	21.29	11.77	13.71	15.59
SL1344_2841	sitA	147.74	163.42	160.83	157.33
SL1344_2842	sitB	149.58	144.71	123.59	139.29
SL1344_2843	sitC	64.52	59.03	69.08	64.21
SL1344_2844	sitD	47.83	47.76	48.04	47.88
SL1344_2845	avrA	58.51	62.36	65.02	61.96
SL1344_2846	sprB	20.14	17.52	16.99	18.22
SL1344_2847	hilC	12.38	10.05	14.46	12.3
SL1344_2848	orgC	16.2	19.12	20.45	18.59
SL1344_2849	orgB	31.48	24.62	26.35	27.48
SL1344_2850	orgA	4.7	10.82	19.21	11.58
SL1344_2851	prgK	28.24	28.85	35.33	30.81
SL1344_2852	prgJ	28.63	20.36	27.21	25.4
SL1344_2853	prgI	11.64	6.69	10.91	9.75
SL1344_2854	prgH	5.98	7.11	8.97	7.35
SL1344_2855	hilD	57.91	63.36	63.54	61.6
SL1344_2856	hilA	7.63	8.78	7.61	8.01
SL1344_2857	iagB	18.11	11.76	18.78	16.22
SL1344_2858	sptP	92.39	100.82	106.04	99.75
SL1344_2859	sicP	127.89	116.41	138.56	127.62
SL1344_2860	iacP	54.51	47.91	68.44	56.95
SL1344_2861	sipA	11.5	6.56	11.83	9.96
SL1344_2862	sipD	9.02	9.43	8.6	9.01
SL1344_2863	sipC	16.5	19.99	16.73	17.74
SL1344_2864	sipB	10.12	12.58	15.35	12.69
SL1344_2865	sicA	25.5	20.65	16.32	20.82
SL1344_2866	spaS	8.69	6.56	8.11	7.79
SL1344_2867	spaR	3.92	5.46	5.48	4.95
SL1344_2868	spaQ	20.58	16.62	18.13	18.44
SL1344_2869	spaP	9.19	13.22	7	9.8
SL1344_2870	spaO	10.82	9.48	10.97	10.43
SL1344_2871	invJ	11.71	11.5	8.78	10.66
SL1344_2872	invI	13.35	12.8	9.79	11.98
SL1344_2873	invC	8.7	10.22	11.21	10.04
SL1344_2874	invB	7.61	15.26	15.29	12.72
SL1344_2875	invA	6.98	7.48	7.89	7.45
SL1344_2876	invE	5.79	4.11	3.71	4.54
SL1344_2877	invG	4.34	3.36	5.47	4.39
