Locus Tag	Name	MEP	Cold shock (15C)	pH3 shock	pH5.8 shock	NaCl shock	Bile shock	LowFe2+ shock	Anaerobic shock
SL1344_0656	ybeX	160.3	176.4	37.6	75.1	129.7	169.2	203.6	67.7
SL1344_0657	ybeY	179	211.3	114.3	109.6	173.6	170.1	264	111.1
SL1344_0658	phoL	145.7	172.6	29.2	57.7	223	159.7	196.2	82.1
SL1344_0659	miaB	103.1	114.5	28.4	105.6	44.5	116.8	56.2	25.7
SL1344_0660	ubiF	21.4	18.3	18.2	15.2	24.9	31.3	21	32.3
SL1344_0661		16.7	22	27.8	10.3	29.9	17.4	22.4	34.9
STnc3290		22.3	35.7	20.9	36.2	79.2	29.7	42.2	42.7
SL1344_0662	asnB	13	24.2	55	10.2	23.7	27.1	28	25.5
SL1344_0663	nagD	59.5	78.2	29.6	57.7	43.2	65.1	61.8	39.4
SL1344_0664	nagC	41.3	35.5	19.4	30.9	14.1	56.5	56	39
SL1344_0665	nagA	61.1	63.2	34.7	37.4	31.3	72.3	80	75.6
SL1344_0666	nagB	40.2	47.4	18.4	23.5	35.1	84.9	78.1	86.1
SL1344_0667	nagE	38.5	43.8	10	11.3	11.2	78.8	27.8	92.3
SL1344_0668	glnS	159.3	144.6	34.1	93.6	58.4	179.7	128.3	56.8
STnc3300		46.1	64.1	110.1	49.2	158	126	66.7	238.7
SL1344_0669	ybfM	7.2	23.9	13.8	2.4	5.8	77.2	7	77.3
SL1344_0670	ybfN	11.9	47.9	31.5	11.4	21	28	13.7	72.4
SL1344_0671		3.2	3.7	3.4	2.3	7.3	3.9	5.8	5.5
SL1344_0672		1.1	1.8	0.9	0.8	2.1	1.3	1.6	0.9
SL1344_0673		2.5	5	1	2.5	4.4	2.9	2.9	2.2
SL1344_0674		24.6	22.6	13.6	9.9	27.8	28.1	21.8	11.4
SL1344_0675	fur	493.7	465.5	255.5	483.2	697	604.5	523.3	219.6
sRNA9		776.7	988.3	611.1	746.4	1215.6	625.1	573.6	226
SL1344_0676	fldA	369.8	354.9	293.8	288.2	377.1	329.1	309.5	134.9
SL1344_0677	ybfE	175.5	200	49.3	106.5	52.6	87.2	115.2	20.8
SL1344_0678	ybfF	38.2	45.2	30.6	28.6	55.9	54.4	38.1	20.5
SL1344_0679	seqA	159.3	170.7	77.8	92.2	156.3	236	155.1	92.3
SL1344_0680	pgm	135.8	129.1	52.3	86.7	78.2	156.9	123.9	85.8
SL1344_0681		7.1	6	4	4.5	2.8	23.2	7.9	716.3
SL1344_0682	potE	3.5	2.5	1.1	1.3	1.7	15.3	6.2	751.9
SL1344_0683	speF	2.4	2.1	1.1	0.9	1.9	17.1	3.7	626.6
SL1344_0684	kdpE	20.2	17.7	11.3	16.8	13.8	22.2	21.1	18.7
SL1344_0685	kdpD	7.7	7.5	5.2	6.4	7.4	10	8.7	8.8
SL1344_0686	kdpC	5.4	3.5	1.7	6.2	4.1	5	6	5.6
SL1344_0687	kdpB	0.5	0.9	0.6	0.6	2.8	1.3	1.4	1.7
SL1344_0688	kdpA	0.6	0.9	0.4	0.1	4.3	0.8	0.4	0.3
SL1344_0688A	kdpF	0	0	0	0	24.6	1.3	0	0
SL1344_0689	ybfA	38.4	31.1	19	26.1	214	78.8	49.4	88.3
SL1344_0690	phrB	4.8	4.4	6	3.7	10.8	10.5	7.7	7.4
SL1344_0691	ybgH	7.3	22	7	8.9	5.4	6.8	6.7	6.3
SL1344_0692	ybgI	56	69.9	34.1	28.2	73.3	127.9	83.6	78.5
SL1344_0693	ybgJ	27.9	15.8	10.5	11.7	22	52.8	45.1	36.5
SL1344_0694	ybgK	20	14.2	8.1	9	17.2	32.7	31.6	24.9
SL1344_0695	ybgL	22.1	26.5	12.5	11.4	16.2	34.2	40.3	27.2
SL1344_0696		4.2	6.3	3.7	2	11.6	2.6	3.6	11.9
SL1344_0697	fimB	10.9	20.1	6.9	11.5	21	11.9	12.9	12.3
SL1344_0698		2	5.6	4.4	0.8	3	2.8	2.1	2.1
SL1344_0699		0.7	2	0.7	1.8	2.3	0.6	1.3	1.5
SL1344_0700		0.8	0.4	1.4	0.2	1	1.6	1.3	0.7
SL1344_0702		0.6	0.9	0.9	0.3	1.3	0.5	0.8	0.8
SL1344_0703		0.8	1.3	1.4	0.7	3	1.3	1	0.1
SL1344_0704		1.5	1.6	4.2	1.1	6.2	2.6	2.7	1.3
SL1344_0705		1.4	1.7	2.5	1.7	3.8	1.3	2.2	0.4
SL1344_0706		2.5	2.8	3.6	2.7	4.8	4.4	3	1.3
SL1344_0707		1.4	2.5	3.7	1	2.5	1.8	2.2	0.3
SL1344_0708		2.2	3.7	3.1	2	5.3	3	2.9	1.7
SL1344_0709		26.3	21	26.1	26.5	63	24.5	33.1	44.5
SL1344_0710	nei	20.9	16	8.5	13.5	17.9	29	21.3	18.6
SL1344_0711	abrB	8.5	14.6	5.4	5.5	41.1	12.5	10	12.6
SL1344_0712	gltA	146.8	298.4	60.7	95.8	638.9	189.7	206.9	108.2
SL1344_0713		4.2	12.3	11.4	3.3	11.9	5.9	5.8	11.1
SL1344_0714	sdhC	147.6	500.8	262.7	83.3	413.3	692.9	138.8	62.6
SL1344_0715	sdhD	147.7	380.7	240.8	56.8	299.7	525.2	78.8	64.8
SL1344_0716	sdhA	123.6	363.9	75.7	42.3	134	208.4	65.4	53
SL1344_0717	sdhB	239.4	578.5	102.5	72.9	223.4	278.3	108.3	109.8
SL1344_0718	sucA	349	259.1	57.7	41.5	73.2	277.3	270.3	75.1
SL1344_0719	sucB	414.6	355.3	66.2	60.7	81.9	336.3	372	102.6
SL1344_0720	sucC	356.4	207.9	35.1	39	47.6	311.9	347.3	71.2
SL1344_0721	sucD	416.2	196.4	76.2	96.6	96.4	289.9	431.7	111.6
RybD	RybD	1105.5	1098.4	904.2	898.7	811.5	1322.9	1376.6	2280.2
SL1344_0722	cydA	146.3	51.1	12.8	88.6	18	425	58.2	119.3
SL1344_0723	cydB	104.1	54	14.6	94	20.2	361.5	50	115.6
SL1344_0724	ybgT	226.6	105.5	35.9	239.7	76.2	764.3	112.9	285.4
SL1344_0725	ybgE	90.7	54.4	30.8	86.8	37.5	204.1	64.4	111.9
SL1344_0726	ybgC	202.2	229.4	99.8	119.9	58.5	208.5	193.7	67.7
SL1344_0727	tolQ	123.6	148.4	52	71.6	22.9	123.5	123.3	36.5
SL1344_0728	tolR	139.1	144.5	16.8	72.5	24.2	159.7	128.7	44.9
SL1344_0729	tolA	106	117.9	55.2	79.4	19.8	113.3	108.3	38.7
SL1344_0730	tolB	310.9	249.7	89.9	214.2	202.8	375.6	313.1	96.4
SL1344_0731	pal	1035.3	776	212.6	566.9	587.5	1373	1041.2	284.1
SL1344_0732	ybgF	461	269.4	154.1	277.8	252.7	530.9	468.6	122.5
SL1344_0733	nadA	5.4	5.6	2.5	2.9	8	12.2	9.7	4.4
SL1344_0734	pnuC	14.8	11.2	6.1	9.4	20.4	27.7	18	21.4
SL1344_0735	ybgR	7.4	9.5	10.1	6.5	18.5	13.4	13.7	22.8
SL1344_0736	ybgS	5.1	2.1	0.4	2.8	338.2	12.9	12.1	8.1
SL1344_0737	aroG	69.1	85.1	30.3	32.4	67.3	128.1	101.5	71.6
SL1344_0738		10.4	9.1	11.1	12.4	26.2	17.7	15	18.3
SL1344_0739		6.7	5.9	3.9	3.8	25.2	10.6	6.1	16.5
SL1344_0740		16.8	43	60.6	13.2	70.4	91.9	24.8	63.1
SL1344_0741		4.9	8.3	5.3	4.5	9.9	6.7	7.3	9.1
SL1344_0742		0.1	1.5	0.5	0.4	4	0.7	0.9	0.8
SL1344_0743	dcoC	0.6	1.7	0	0.5	2.8	0	1	0.6
SL1344_0744	dcoA	0	0	0	0	0.1	0	0	0
SL1344_0745	dcoB	0.2	0	0	0.2	0.4	0.4	0.2	0.2
SL1344_0746		7.4	3.3	4.7	4.8	3.4	3.3	5.9	1.8
SL1344_0747		2.8	2.9	2.1	2.6	2.5	2.6	2.8	2.6
SL1344_0748		3.7	3.5	4.6	3.3	3.3	4.2	3.9	6.6
SL1344_0749	gpmA	684.3	476.1	503.7	351.6	672.6	1052.2	1875.9	253.2
SL1344_0750	galM	59.6	45.2	9.1	21.4	30.1	90	61.7	133.5
SL1344_0751	galK	36.6	32.3	14.2	13.8	24.2	58.8	40.3	80.1
SL1344_0752	galT	19.1	18.4	4.2	6.5	9	33.8	23.3	55.6
SL1344_0753	galE	27.3	50.6	74.4	14.6	23.8	74.6	34.8	73.4
SL1344_0754		2.8	2.3	2.3	2.4	12	2.9	4.1	2.2
SL1344_0755	modF	31.3	46.8	28.6	22.1	51.6	51.8	37.5	31.4
SL1344_0756	modE	32.1	27.3	12.4	23.3	22.7	40	30.5	22.4
SL1344_0757	ybhT	466.9	581.9	720.2	475.3	752.1	715.2	473.3	347.3
SL1344_0758	modA	114.1	112.5	77.4	144.9	177.2	132.6	137.9	334.7
SL1344_0759	modB	76.5	70	51.2	102.2	94.6	73.3	82.1	128.5
