Locus Tag	Name	FDR	logFC	Fitness
SL1344_0391	sbcD	1	0.04275784	0
SL1344_0392	phoB	0.000431185	-3.773957836	2
SL1344_0393	phoR	2.43e-06	-9.047203828	2
SL1344_0394	brnQ	0.926453395	-0.309777984	0
SL1344_0396	malZ	0.573062652	1.279634344	0
SL1344_0399	queA	0.053184403	-2.235461008	0
SL1344_0400	tgt	4.94e-08	-6.198814561	2
SL1344_0401	yajC	4.03e-09	-15	2
SL1344_0407	tsx	0.742091645	0.957315867	0
SL1344_0408	yajI	0.82453028	-0.669549377	0
SL1344_0409	nrdR	0.000387702	-3.690029709	2
SL1344_0415	yajO	0.886326293	1.239034833	0
SL1344_0419	thiI	0.962959501	-0.152595674	0
SL1344_0422	phnT	0.585233567	1.267247688	0
SL1344_0426	phnX	0.442629298	1.534250013	0
SL1344_0427	thiJ	0.953587375	0.335845552	0
SL1344_0429	yajQ	1	0.033747707	0
SL1344_0430	yajR	1	0.130400104	0
SL1344_0431	SL1344_0431	1.14e-07	-15	2
SL1344_0432	SL1344_0432	7.14e-05	-4.675283134	2
SL1344_0433	cyoE	0.562248028	-1.083965327	0
SL1344_0434	cyoD	0.798815764	-0.655580524	0
SL1344_0435	cyoC	0.52369384	-1.130660051	0
SL1344_0436	cyoB	0.907518281	-0.377608973	0
SL1344_0437	cyoA	0.555779351	-1.094441293	0
SL1344_0438	ampG	0.693086007	1.77959585	0
SL1344_0440	bolA	0.521275076	1.371701027	0
SL1344_0441	tig	0.036750601	-2.434033733	2
SL1344_0443	clpX	7.53e-10	-9.099821854	2
SL1344_0445	hupB	0.440122933	-1.276968973	0
SL1344_0446	cypD	0.612439658	-1.011037355	0
SL1344_0447	comE1	0.619201745	1.207165573	0
SL1344_0449	ybaX	0.867841552	0.656076443	0
SL1344_0450	ybaE	0.255813259	1.899979743	0
SL1344_0451	cof	0.640651824	1.176040575	0
SL1344_0452	SL1344_0452	0.863459544	0.659977097	0
SL1344_0454	mdlA	0.828744405	1.150022995	0
SL1344_0455	mdlB	0.93887751	0.408389112	0
SL1344_0457	amtB	0.807925404	0.813256651	0
SL1344_0458	tesB	0.816128885	0.790832725	0
SL1344_0459	ybaY	0.844257471	0.713500801	0
SL1344_0461	ylaB	0.751504387	0.947912784	0
SL1344_0462	rpmE2	0.862445282	0.658535176	0
SL1344_0465	maa	0.149023142	2.240992333	0
SL1344_0466	hha	1.15e-10	-9.659365601	2
SL1344_0467	ybaJ	3.92e-09	-8.726697996	2
SL1344_0470	acrR	0.778945209	1.379092608	0
SL1344_0471	aefA	0.790012106	0.850439575	0
SL1344_0472	SL1344_0472	0.751317202	0.937692017	0
SL1344_0473	ybaM	0.993138316	-0.014703367	0
SL1344_0474	priC	0.893985278	0.773626429	0
SL1344_0478	ybaB	0.52057368	-1.686521164	0
SL1344_0480	htpG	0.012353523	-2.718717145	2
SL1344_0484	gsk	0.746436537	0.970531596	0
SL1344_0485	ybaL	0.806062412	0.815987772	0
SL1344_0487	ushA	0.542436841	1.338744415	0
SL1344_0488	ybaK	0.982900601	-0.060504288	0
SL1344_0491	copA	0.12645962	2.333880827	0
SL1344_0493	ybbJ	0.961505079	0.790346307	0
SL1344_0495	ybbL	0.016408052	-2.644886383	2
SL1344_0497	ybbN	0.901246277	-0.386330164	0
SL1344_0498	ybbO	0.79799223	0.839529119	0
SL1344_0499	tesA	0.765394727	0.903601621	0
SL1344_0500	ybbA	0.894430592	0.743865527	0
SL1344_0501	ybbP	0.769498291	0.917222199	0
