Locus Tag	Name	FDR	logFC	Fitness
SL1344_0399	queA	0.143217799	-0.718474493	0
SL1344_0400	tgt	4.47e-10	-3.99816766	2
SL1344_0401	yajC	9.28e-14	-15	2
SL1344_0407	tsx	0.002460483	-1.596835557	2
SL1344_0408	yajI	9.89e-13	-2.848947424	2
SL1344_0409	nrdR	0.878757026	-0.12013471	0
SL1344_0415	yajO	0.013795771	2.041292489	1
SL1344_0419	thiI	1.19e-12	-3.879808216	2
SL1344_0422	phnT	0.746179777	0.265246013	0
SL1344_0426	phnX	0.000594156	2.745834218	1
SL1344_0427	thiJ	0.831876281	-0.193103266	0
SL1344_0429	yajQ	0.374209693	0.857406716	0
SL1344_0430	yajR	0.509162575	-0.381105563	0
SL1344_0431	SL1344_0431	8.32e-69	-15	2
SL1344_0432	SL1344_0432	5.67e-70	-15	2
SL1344_0433	cyoE	5.84e-10	-3.443722271	2
SL1344_0434	cyoD	5.45e-06	-2.267963041	2
SL1344_0435	cyoC	0.078744323	1.232988952	0
SL1344_0436	cyoB	0.458700949	0.578232568	0
SL1344_0437	cyoA	0.000791944	-1.869856336	2
SL1344_0438	ampG	0.014814124	-1.549476225	2
SL1344_0440	bolA	0.462877377	0.45949709	0
SL1344_0443	clpX	3.36e-34	-4.895951362	2
SL1344_0445	hupB	5.31e-29	-15	2
SL1344_0446	cypD	0.075134789	-0.930301342	0
SL1344_0447	comE1	0.395811297	0.644711032	0
SL1344_0449	ybaX	5.2e-18	-3.119671512	2
SL1344_0450	ybaE	0.0044416	2.238449873	1
SL1344_0451	cof	0.105949157	1.208797847	0
SL1344_0452	SL1344_0452	0.07676374	1.274387721	0
SL1344_0455	mdlB	0.414272135	-0.632499865	0
SL1344_0457	amtB	0.161859108	-0.780930331	0
SL1344_0458	tesB	0.061230449	1.415158802	0
SL1344_0459	ybaY	0.24842639	0.844110532	0
SL1344_0462	rpmE2	0.254690074	0.90106103	0
SL1344_0465	maa	0.017540316	1.885680353	1
SL1344_0466	hha	0.014804953	1.726099359	1
SL1344_0467	ybaJ	3.99e-29	-15	2
SL1344_0470	acrR	0.174905014	1.066382301	0
SL1344_0471	aefA	0.000706265	-1.713353712	2
SL1344_0472	SL1344_0472	0.01925022	1.711952154	1
SL1344_0474	priC	0.346774938	-0.585909779	0
SL1344_0478	ybaB	2.89e-08	-2.807001367	2
SL1344_0480	htpG	2.24e-14	-4.09276682	2
SL1344_0484	gsk	0.150528078	-0.836073436	0
SL1344_0485	ybaL	0.822361566	0.148744521	0
SL1344_0487	ushA	0.000284356	-1.865104772	2
SL1344_0488	ybaK	0.947595738	0.040953311	0
SL1344_0491	copA	0.000284347	1.946525481	1
SL1344_0493	ybbJ	0.01410807	2.045351563	1
SL1344_0495	ybbL	3.11e-31	-15	2
SL1344_0497	ybbN	0.098717232	1.338676573	0
SL1344_0498	ybbO	0.000158078	2.711720697	1
SL1344_0499	tesA	0.057376468	1.521384467	0
SL1344_0500	ybbA	0.001353314	2.310335133	1
SL1344_0501	ybbP	0.030766014	1.176330123	1
SL1344_0502	SL1344_0502	0.703580262	-0.27908204	0
