Locus Tag	Name	InSPI2	InSPI2 LowMg2+	Peroxide shock (InSPI2)	Nitric oxide shock (InSPI2)
SL1344_0226	hlpA	880.5	363.9	108	251.3
SL1344_0227	lpxD	270.7	132.4	50.4	101.2
SL1344_0228	fabZ	223	124.7	31.7	73.1
SL1344_0229	lpxA	150.5	91.8	19.1	46.3
SL1344_0230	lpxB	58.1	37.1	5.8	28.4
SL1344_0231	rnhB	51	41.6	8.8	31.6
SL1344_0232	dnaE	52.7	31.4	5.9	16.8
SL1344_0233	accA	114.5	53.9	13.6	31.5
SL1344_0234		9.5	15.1	7.6	12
SL1344_0235	ldcC	14.3	18.9	5.2	14.9
SL1344_0236	yaeR	31.4	25.9	10.5	26.6
SL1344_0237	mesJ	14.2	12.8	1.8	8.8
SL1344_0238	rof	407.1	537.2	719.7	905.1
SL1344_0239	yaeP	379.8	442.3	604.1	693.6
SL1344_0240	yaeQ	41.6	39.2	12.6	16.6
SL1344_0241	yaeJ	58.5	49.9	40.6	37
SL1344_0242	cutF	43.3	35.2	19.7	34.8
SL1344_0243	proS	69.9	29.8	11.7	18.7
SL1344_0244	yaeB	43.1	31.6	7.4	23.2
SL1344_0245	rcsF	83.4	74.2	18.8	50.1
SL1344_0246	metQ	728.8	283.4	249.1	282.8
SL1344_0247	yaeE	201.7	89.8	72.9	73.5
SL1344_0248	abc	145.6	55.1	118.9	46.4
SL1344_0249	yaeD	53.3	32.9	17.8	30.2
SL1344_0250	dkgB	11.6	18.3	4	11
SL1344_0251	yafC	3.8	7	5.7	6.5
SL1344_0252		2.4	3.7	0.9	2
SL1344_0253	yafD	36.1	35.3	20.6	56
SL1344_0254	yafE	13.1	13.4	5.4	43
SL1344_0255	dniR	205.9	129.2	26.1	57.2
SL1344_0256	gloB	18.6	17.1	10.6	20.6
SL1344_0257	yafS	12.4	22.3	19.8	29.2
SL1344_0258	rnhA	37.3	21.4	4.3	25
SL1344_0259	dnaQ	49.7	62.8	31	40.8
SL1344_0260	sciA	3.6	2.9	1.3	1.5
SL1344_0261	sciB	2	1	0.1	0.4
SL1344_0262	sciC	3.2	2.5	0.4	1.8
